id,tenant_id,horario_base_id,coach_id,disciplina_id,fecha,hora_inicio,hora_fin,cupo_maximo,asistentes_confirmados,cancelada,created_at,updated_at,wod_id
1,1,1,1,1,2026-07-01,20:00:00,21:00:00,16,0,False,2026-06-30 20:36:17.915035+00:00,2026-07-10 23:54:20.029775+00:00,
2,1,1,1,1,2026-07-03,20:00:00,21:00:00,16,0,False,2026-07-01 14:33:00.592509+00:00,2026-07-01 14:33:00.592509+00:00,
3,1,1,2,1,2026-07-03,15:33:00,16:33:00,15,0,False,2026-07-01 14:33:38.416904+00:00,2026-07-01 14:33:38.416904+00:00,
4,1,1,1,1,2026-07-04,21:00:00,22:00:00,16,0,False,2026-07-01 14:59:30.758575+00:00,2026-07-01 14:59:30.758575+00:00,
5,1,5,,1,2026-07-10,07:00:00,08:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
6,1,10,,1,2026-07-10,08:00:00,09:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
7,1,15,,1,2026-07-10,09:00:00,10:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
8,1,20,,1,2026-07-10,14:00:00,15:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
9,1,25,,1,2026-07-10,18:00:00,19:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
10,1,30,,1,2026-07-10,19:00:00,20:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
11,1,35,,1,2026-07-10,20:00:00,21:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
12,1,40,,1,2026-07-10,21:00:00,22:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
13,1,45,,3,2026-07-10,07:00:00,08:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
14,1,50,,3,2026-07-10,08:00:00,09:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
15,1,55,,3,2026-07-10,09:00:00,10:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
16,1,60,,3,2026-07-10,10:00:00,14:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
17,1,65,,3,2026-07-10,14:00:00,15:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
18,1,70,,3,2026-07-10,15:00:00,17:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
19,1,75,,3,2026-07-10,18:00:00,19:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
20,1,5,,1,2026-07-10,07:00:00,08:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
21,1,10,,1,2026-07-10,08:00:00,09:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
22,1,15,,1,2026-07-10,09:00:00,10:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
23,1,20,,1,2026-07-10,14:00:00,15:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
24,1,25,,1,2026-07-10,18:00:00,19:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
25,1,30,,1,2026-07-10,19:00:00,20:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
26,1,35,,1,2026-07-10,20:00:00,21:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
27,1,40,,1,2026-07-10,21:00:00,22:00:00,16,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
28,1,45,,3,2026-07-10,07:00:00,08:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
29,1,50,,3,2026-07-10,08:00:00,09:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
30,1,55,,3,2026-07-10,09:00:00,10:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
31,1,60,,3,2026-07-10,10:00:00,14:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
32,1,65,,3,2026-07-10,14:00:00,15:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
33,1,70,,3,2026-07-10,15:00:00,17:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
34,1,75,,3,2026-07-10,18:00:00,19:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
35,1,158,,3,2026-07-10,19:00:00,20:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
36,1,163,,3,2026-07-10,20:00:00,21:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
37,1,168,,3,2026-07-10,21:00:00,22:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
38,1,173,,4,2026-07-10,07:00:00,08:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
39,1,178,,4,2026-07-10,08:00:00,09:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
40,1,183,,4,2026-07-10,09:00:00,10:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
41,1,188,,4,2026-07-10,10:00:00,14:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
42,1,193,,4,2026-07-10,14:00:00,15:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
43,1,198,,4,2026-07-10,15:00:00,17:00:00,50,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
44,1,201,,5,2026-07-10,19:00:00,20:00:00,12,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
45,1,204,,5,2026-07-10,20:00:00,21:00:00,12,0,False,2026-07-10 23:30:48.620735+00:00,2026-07-10 23:30:48.620735+00:00,
49,1,205,,6,2026-07-11,10:00:00,12:00:00,16,0,False,2026-07-11 19:55:35.013462+00:00,2026-07-11 19:55:35.013462+00:00,
50,1,1,,1,2026-07-13,07:00:00,08:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
51,1,41,,3,2026-07-13,07:00:00,08:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
52,1,169,,4,2026-07-13,07:00:00,08:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
53,1,41,,3,2026-07-13,07:00:00,08:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
54,1,1,,1,2026-07-13,07:00:00,08:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
55,1,46,,3,2026-07-13,08:00:00,09:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
56,1,6,,1,2026-07-13,08:00:00,09:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
57,1,174,,4,2026-07-13,08:00:00,09:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
58,1,46,,3,2026-07-13,08:00:00,09:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
59,1,6,,1,2026-07-13,08:00:00,09:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
60,1,51,,3,2026-07-13,09:00:00,10:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
61,1,11,,1,2026-07-13,09:00:00,10:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
62,1,11,,1,2026-07-13,09:00:00,10:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
63,1,51,,3,2026-07-13,09:00:00,10:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
64,1,179,,4,2026-07-13,09:00:00,10:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
65,1,56,,3,2026-07-13,10:00:00,14:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
66,1,56,,3,2026-07-13,10:00:00,14:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
67,1,184,,4,2026-07-13,10:00:00,14:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
68,1,61,,3,2026-07-13,14:00:00,15:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
69,1,16,,1,2026-07-13,14:00:00,15:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
70,1,61,,3,2026-07-13,14:00:00,15:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
71,1,189,,4,2026-07-13,14:00:00,15:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
72,1,16,,1,2026-07-13,14:00:00,15:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
73,1,194,,4,2026-07-13,15:00:00,17:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
74,1,66,,3,2026-07-13,15:00:00,17:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
75,1,66,,3,2026-07-13,15:00:00,17:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
76,1,71,,3,2026-07-13,18:00:00,19:00:00,50,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
77,1,21,,1,2026-07-13,18:00:00,19:00:00,16,0,False,2026-07-11 19:55:35.691534+00:00,2026-07-11 19:55:35.691534+00:00,
